"","Complaint","Lat","Lon"
"707","Animal in a Park",40.71620744,-73.96609832
"708","Animal in a Park",NA,NA
"709","Animal in a Park",NA,NA
"710","Animal in a Park",NA,NA
"711","Animal in a Park",NA,NA
"712","Animal in a Park",NA,NA
"713","Animal in a Park",NA,NA
"714","Animal in a Park",NA,NA
"715","Animal in a Park",NA,NA
"716","Animal in a Park",NA,NA
"717","Animal in a Park",NA,NA
"718","Animal in a Park",40.67397505,-73.98569879
"719","Animal in a Park",NA,NA
"720","Animal in a Park",40.74709003,-73.711846
"721","Animal in a Park",NA,NA
"722","Animal in a Park",NA,NA
"723","Animal in a Park",40.70251221,-73.85256622
"724","Animal in a Park",NA,NA
"725","Animal in a Park",NA,NA
"726","Animal in a Park",NA,NA
"727","Animal in a Park",NA,NA
"728","Animal in a Park",NA,NA
"729","Animal in a Park",NA,NA
"730","Animal in a Park",NA,NA
"731","Animal in a Park",NA,NA
"732","Animal in a Park",NA,NA
"733","Animal in a Park",NA,NA
"734","Animal in a Park",NA,NA
"735","Animal in a Park",40.63827866,-74.03088952
"736","Animal in a Park",NA,NA
"737","Animal in a Park",NA,NA
"738","Animal in a Park",NA,NA
"739","Animal in a Park",NA,NA
"740","Animal in a Park",NA,NA
"741","Animal in a Park",NA,NA
"742","Animal in a Park",NA,NA
"743","Animal in a Park",NA,NA
"744","Animal in a Park",NA,NA
"745","Animal in a Park",40.63827866,-74.03088952
"746","Animal in a Park",NA,NA
"747","Animal in a Park",NA,NA
"748","Animal in a Park",NA,NA
"749","Animal in a Park",40.87302289,-73.91845926
